CODEINSEE;Field3
13109;13100
13054;13700
13041;13120
13082;13840
13060;13590
13084;13640
13055;
13085;13830
13075;13380
13078;13230
13098;13920
13117;13127
13014;13130
13037;13580
13102;13730
13033;13820
13032;13510
13025;13790
13039;13270
13118;13111
13081;13340
13077;13110
13063;13140
13021;13620
13112;13880
13029;13250
13026;13220
13114;13122
13051;13680
13092;13250
13043;13180
13088;13740
13015;13320
13001;13080
13071;13170
13019;13480
13093;13610
13091;13760
13080;13610
13024;13350
13053;13370
13009;13330
13035;13430
13003;13980
13050;13410
13008;13121
13069;13330
13115;13116
13104;13960
13049;13113
13090;13100
13048;13490
13059;13650
13113;13770
13072;13790
13099;13115
13086;13360
13095;13100
13007;13390
13013;13720
13062;13105
13042;13420
13028;13600
13023;13600
13016;13720
13020;13950
83120;83640
13073;13124
13070;13821
13111;13126
13031;13112
13005;13400
13046;13850
13079;13114
13101;13119
13040;13710
13103;13300
13044;13450
13107;13109
13022;13260
13047;13118
13106;13240
13030;13780
13012;13100
13105;13560
13110;13530
13074;13860
13087;13790
84089;84120
13056;13117
13002;13190
13119;13470
13201;13001
13202;13002
13203;13003
13204;13004
13205;13005
13206;13006
13207;13007
13208;13008
13209;13009
13210;13010
13211;13011
13212;13012
13213;13013
13214;13014
13215;13015
13216;13016
